id,epoch_ms,datetime_utc,latitude,longitude,type
1185,1688322683000.0,2023-07-02 18.31.23.000,-0.47229998630227993,125.33966082268275,2
1186,1688322683000.0,2023-07-02 18.31.23.000,1.9665948598716119,124.52393203577125,2
1187,1688322689000.0,2023-07-02 18.31.29.000,2.3097895614789903,125.36106661194404,2
1188,1688322695000.0,2023-07-02 18.31.35.000,6.280845114690139,127.02074369629968,0
1189,1688322718000.0,2023-07-02 18.31.58.000,2.3986732067472936,124.48535056460845,2
1190,1688322730000.0,2023-07-02 18.32.10.000,1.8423585971598553,124.19880040790613,0
1191,1688322748000.0,2023-07-02 18.32.28.000,1.8197794113257373,123.99323646108958,2
1192,1688322748000.0,2023-07-02 18.32.28.000,2.3059316815641777,124.1439653159469,0
1193,1688322751000.0,2023-07-02 18.32.31.000,2.375892420632591,125.23074657487712,2
1194,1688322767000.0,2023-07-02 18.32.47.000,1.8918435565879894,123.87456009930523,2
1195,1688322794000.0,2023-07-02 18.33.14.000,-2.0759298561812125,125.65939296168476,0
1196,1688322794000.0,2023-07-02 18.33.14.000,-2.838602541202014,125.11533152126323,2
1197,1688322795000.0,2023-07-02 18.33.15.000,1.7052305101585803,124.45649988244521,0
1198,1688322807000.0,2023-07-02 18.33.27.000,2.3161419323620867,124.65553656314732,2
1199,1688322848000.0,2023-07-02 18.34.08.000,2.2325293619384894,125.2932805953038,2
1200,1688322848000.0,2023-07-02 18.34.08.000,2.5527957161162926,124.76070157619445,0
1201,1688322861000.0,2023-07-02 18.34.21.000,1.7075630297085997,124.46668096480029,0
1202,1688322862000.0,2023-07-02 18.34.22.000,3.760389794928287,130.73847185818084,2
1203,1688322870000.0,2023-07-02 18.34.30.000,1.9805094851650002,124.2872017288097,2
1204,1688322883000.0,2023-07-02 18.34.43.000,2.6542950176719646,124.46124871176406,0
1205,1688322892000.0,2023-07-02 18.34.52.000,2.0398026102625737,124.71411818891681,0
1206,1688322903000.0,2023-07-02 18.35.03.000,2.647722608025934,124.29791761781964,0
1207,1688322957000.0,2023-07-02 18.35.57.000,2.361007532050342,125.18625268703188,2
1208,1688322960000.0,2023-07-02 18.36.00.000,1.9345854168247538,124.56902098291381,2
1209,1688322960000.0,2023-07-02 18.36.00.000,2.078435168941148,124.10360754090419,2
1210,1688322961000.0,2023-07-02 18.36.01.000,1.654420323286814,123.84459132651169,1
1211,1688322990000.0,2023-07-02 18.36.30.000,0.03489688850731563,129.93913257753363,2
